new_resid,old_resid,old_insertion,old_chain
1,8,,A
2,9,,A
3,10,,A
4,11,,A
5,12,,A
6,13,,A
7,14,,A
8,15,,A
9,16,,A
10,17,,A
11,18,,A
12,19,,A
13,20,,A
14,21,,A
15,22,,A
16,23,,A
17,24,,A
18,25,,A
19,26,,A
20,27,,A
21,28,,A
22,29,,A
23,30,,A
24,31,,A
25,32,,A
26,33,,A
27,34,,A
28,35,,A
29,36,,A
30,37,,A
31,38,,A
32,39,,A
33,40,,A
34,41,,A
35,42,,A
36,43,,A
37,44,,A
38,45,,A
39,46,,A
40,47,,A
41,48,,A
42,49,,A
43,50,,A
44,51,,A
45,52,,A
46,53,,A
47,54,,A
48,55,,A
49,56,,A
50,57,,A
51,58,,A
52,59,,A
53,60,,A
54,61,,A
55,62,,A
56,63,,A
57,64,,A
58,65,,A
59,66,,A
60,67,,A
61,68,,A
62,69,,A
63,70,,A
64,71,,A
65,72,,A
66,73,,A
67,74,,A
68,75,,A
69,76,,A
70,77,,A
71,78,,A
72,79,,A
73,80,,A
74,81,,A
75,82,,A
76,83,,A
77,84,,A
78,85,,A
79,86,,A
80,87,,A
81,88,,A
82,89,,A
83,90,,A
84,91,,A
85,92,,A
86,93,,A
87,94,,A
88,95,,A
89,96,,A
90,97,,A
91,98,,A
92,99,,A
93,100,,A
94,101,,A
95,102,,A
96,103,,A
97,104,,A
98,105,,A
99,106,,A
100,107,,A
101,108,,A
102,109,,A
103,110,,A
104,111,,A
105,112,,A
106,113,,A
107,114,,A
108,115,,A
109,116,,A
110,117,,A
111,118,,A
112,119,,A
113,120,,A
114,121,,A
115,122,,A
116,123,,A
117,124,,A
118,125,,A
119,126,,A
120,127,,A
121,128,,A
122,129,,A
123,130,,A
124,131,,A
125,132,,A
126,133,,A
127,134,,A
128,135,,A
129,136,,A
130,137,,A
131,138,,A
132,139,,A
133,140,,A
134,141,,A
135,142,,A
136,143,,A
137,144,,A
138,145,,A
139,146,,A
140,147,,A
141,148,,A
142,149,,A
143,150,,A
144,151,,A
145,152,,A
146,153,,A
147,154,,A
148,155,,A
149,156,,A
150,157,,A
151,158,,A
152,159,,A
153,160,,A
154,161,,A
155,162,,A
156,163,,A
157,164,,A
158,165,,A
159,166,,A
160,167,,A
161,168,,A
162,169,,A
163,170,,A
164,171,,A
165,172,,A
166,173,,A
167,174,,A
168,175,,A
169,176,,A
170,177,,A
171,178,,A
172,179,,A
173,180,,A
174,181,,A
175,182,,A
176,183,,A
177,184,,A
178,185,,A
179,186,,A
180,187,,A
181,188,,A
182,189,,A
183,190,,A
184,191,,A
185,192,,A
186,193,,A
187,194,,A
188,195,,A
189,196,,A
190,197,,A
191,198,,A
192,199,,A
193,200,,A
194,201,,A
195,202,,A
196,203,,A
197,204,,A
198,205,,A
199,206,,A
200,207,,A
201,208,,A
202,209,,A
203,210,,A
204,211,,A
205,212,,A
206,213,,A
207,214,,A
208,215,,A
209,216,,A
210,217,,A
211,218,,A
212,219,,A
213,220,,A
214,221,,A
215,222,,A
216,223,,A
217,224,,A
218,225,,A
219,226,,A
220,227,,A
221,228,,A
222,229,,A
223,230,,A
224,231,,A
225,232,,A
226,233,,A
227,234,,A
228,235,,A
229,236,,A
230,237,,A
231,238,,A
232,239,,A
233,240,,A
234,241,,A
235,242,,A
236,243,,A
237,244,,A
238,245,,A
239,246,,A
240,247,,A
241,248,,A
242,249,,A
243,250,,A
244,251,,A
245,252,,A
246,253,,A
247,254,,A
248,255,,A
249,256,,A
250,257,,A
251,258,,A
252,259,,A
253,260,,A
254,261,,A
255,262,,A
256,263,,A
257,264,,A
258,265,,A
259,266,,A
260,267,,A
261,268,,A
262,269,,A
263,270,,A
264,271,,A
265,272,,A
266,273,,A
267,274,,A
268,275,,A
269,276,,A
270,277,,A
271,278,,A
272,279,,A
273,280,,A
274,281,,A
275,282,,A
276,283,,A
277,284,,A
278,285,,A
279,286,,A
280,287,,A
281,288,,A
282,289,,A
283,290,,A
284,291,,A
285,292,,A
286,293,,A
287,294,,A
288,295,,A
289,296,,A
290,297,,A
291,298,,A
292,299,,A
293,300,,A
294,301,,A
295,302,,A
296,303,,A
297,304,,A
298,305,,A
299,306,,A
300,307,,A
301,308,,A
302,309,,A
303,310,,A
304,311,,A
305,312,,A
306,313,,A
307,314,,A
308,315,,A
309,316,,A
310,317,,A
311,318,,A
312,319,,A
313,320,,A
314,321,,A
315,322,,A
316,323,,A
317,324,,A
318,325,,A
319,326,,A
320,327,,A
321,328,,A
322,329,,A
323,330,,A
324,331,,A
325,332,,A
326,333,,A
327,334,,A
328,335,,A
329,336,,A
330,337,,A
331,338,,A
332,339,,A
333,340,,A
334,341,,A
335,342,,A
336,343,,A
337,344,,A
338,345,,A
339,346,,A
340,347,,A
341,348,,A
342,349,,A
343,350,,A
344,351,,A
345,352,,A
346,353,,A
347,354,,A
348,355,,A
349,356,,A
350,357,,A
351,358,,A
352,359,,A
353,360,,A
354,361,,A
355,362,,A
356,363,,A
357,364,,A
358,365,,A
359,554,,F
360,555,,F
361,556,,F
362,557,,F
363,558,,F
364,559,,F
365,560,,F
366,561,,F
367,562,,F
368,563,,F
