,protein,ligand1,ligand2,ATM_ddG,error,exp_ddG,MAE
0,CDK2,m1r,m21,0.07,0.24,-0.16,0.23
1,CDK2,m1r,mi9,-3.21,0.23,-2.07,1.14
2,CDK2,m1s,m26,3.14,0.25,2.82,0.32
3,CDK2,m1s,miy,3.08,0.24,1.46,1.62
4,CDK2,m20,m1q,-0.55,0.23,0.54,1.09
5,CDK2,m22,m1r,-0.68,0.22,0.19,0.87
6,CDK2,m26,m1q,-0.14,0.23,0.25,0.39
7,CDK2,m26,mi9,-0.72,0.24,-1.31,0.59
8,CDK2,m29,m26,0.05,0.24,1.45,1.4
9,CDK2,m30,m26,0.64,0.23,1.38,0.74
10,CDK2,mi9,m20,-0.15,0.23,1.02,1.17
11,CDK2,miu,m1q,1.26,0.22,0.9,0.36
12,CDK2,miu,m26,0.45,0.24,0.65,0.2
13,CDK2,miy,m1q,1.08,0.36,1.61,0.53
14,CDK2,miy,m29,-1.3,0.26,-0.1,1.2
15,CDK2,miy,mi9,-1.07,0.24,0.04,1.11
16,JNK1,m26,m24,1.5,0.22,0.38,1.12
17,JNK1,m26,m25,0.81,0.27,0.77,0.04
18,JNK1,m26,m27,0.87,0.23,0.39,0.48
19,JNK1,m26,m30,0.17,0.17,-0.27,0.44
20,JNK1,m26,m32,0.56,0.23,-0.21,0.77
21,JNK1,m26,m34,-0.81,0.23,-1.12,0.31
22,JNK1,m26,m59,0.65,0.24,-0.59,1.24
23,JNK1,m26,m60,-0.68,0.25,0.17,0.85
24,JNK1,m27,m30,-0.07,0.22,-0.66,0.59
25,JNK1,m29,m27,0.03,0.17,0.19,0.16
26,JNK1,m31,m24,0.89,0.23,0.92,0.03
27,JNK1,m31,m60,1.1,0.25,0.71,0.39
28,JNK1,m32,m24,0.83,0.23,0.59,0.24
29,JNK1,m33,m24,0.41,0.23,0.68,0.27
30,JNK1,m34,m37,-0.8,0.27,-0.15,0.65
31,JNK1,m35,m24,-1.24,0.23,-1.21,0.03
32,JNK1,m35,m25,0.12,0.23,-0.82,0.94
