,protein,ligand1,ligand2,ATM_ddG,error,exp_ddG,MAE
0,CDK2,1h1r,1oi9,-0.87,0.24,-2.07,1.2
1,CDK2,1h1r,21,2.27,0.24,-0.16,2.43
2,CDK2,1h1s,1oiy,0.59,0.25,1.46,0.87
3,CDK2,1h1s,26,1.9,0.25,2.82,0.92
4,CDK2,1oi9,20,0.74,0.24,1.02,0.28
5,CDK2,1oiu,1h1q,4.4,0.24,0.9,3.51
6,CDK2,1oiu,26,3.11,0.25,0.65,2.46
7,CDK2,1oiy,1h1q,2.64,0.25,1.61,1.03
8,CDK2,1oiy,1oi9,0.47,0.26,0.04,0.43
9,CDK2,1oiy,29,0.26,0.24,-0.1,0.36
10,CDK2,1oiy,32,0.99,0.24,0.04,0.95
11,CDK2,22,1h1r,-0.64,0.24,0.19,0.83
12,CDK2,26,1h1q,1.47,0.24,0.25,1.22
13,CDK2,26,1oi9,-0.11,0.24,-1.31,1.2
14,CDK2,29,26,1.42,0.24,1.45,0.03
15,CDK2,30,26,1.14,0.24,1.38,0.24
16,JNK1,18626,18624,1.3,0.25,0.38,0.92
17,JNK1,18626,18625,0.45,0.24,0.77,0.32
18,JNK1,18626,18627,0.82,0.24,0.39,0.43
19,JNK1,18626,18630,0.74,0.32,-0.27,1.02
20,JNK1,18626,18632,-0.36,0.24,-0.21,0.14
21,JNK1,18626,18634,-2.71,0.23,-1.12,1.59
22,JNK1,18626,18659,-2.34,0.24,-0.59,1.75
23,JNK1,18626,18660,0.13,0.26,0.17,0.04
24,JNK1,18627,18630,0.89,0.23,-0.66,1.55
25,JNK1,18629,18627,0.92,0.23,0.19,0.73
26,JNK1,18631,18624,1.58,0.27,0.92,0.66
27,JNK1,18631,18660,-0.09,0.25,0.71,0.8
28,JNK1,18632,18624,1.02,0.25,0.59,0.43
29,JNK1,18633,18624,0.71,0.23,0.68,0.03
30,JNK1,18634,18637,1.25,0.24,-0.15,1.4
31,JNK1,18635,18624,-0.2,0.24,-1.21,1.01
32,JNK1,18635,18625,0.42,0.24,-0.82,1.24
33,JNK1,18637,18631,1.24,0.25,0.73,0.51
34,JNK1,18638,18634,0.95,0.24,0.1,0.85
35,TYK2,23,27,-0.25,0.22,0.42,0.67
36,TYK2,23,46,0.4,0.22,0.39,0.01
37,TYK2,23,55,-0.44,0.23,2.49,2.93
38,TYK2,28,27,-0.8,0.22,-0.3,0.5
39,TYK2,31,28,-0.54,0.23,-1.44,0.9
40,TYK2,31,43,1.94,0.23,1.28,0.66
41,TYK2,31,45,-0.86,0.23,-0.02,0.84
42,TYK2,31,46,-0.42,0.24,-1.77,1.35
43,TYK2,31,48,1.84,0.24,0.54,1.3
44,TYK2,42,48,0.64,0.23,0.78,0.14
45,TYK2,42,54,-1.83,0.22,-0.75,1.08
46,TYK2,42,55,-1.68,0.22,0.57,2.25
47,TYK2,43,55,-2.68,0.23,-0.95,1.73
48,TYK2,44,42,-2.85,0.24,-2.36,0.49
49,TYK2,44,55,-4.33,0.23,-1.79,2.54
50,TYK2,45,42,0.75,0.23,-0.22,0.97
51,TYK2,47,31,-0.51,0.23,0.16,0.67
52,TYK2,47,55,-0.98,0.23,0.49,1.47
53,TYK2,49,31,-0.57,0.24,-1.79,1.22
54,TYK2,49,50,-0.64,0.24,-1.23,0.59
55,TYK2,50,42,0.1,0.22,-0.8,0.9
56,TYK2,55,54,-0.76,0.23,-1.32,0.56
57,hif2a,m02,m03,-0.67,0.25,-1.42,0.75
58,hif2a,m02,m20,-5.53,0.24,-0.61,4.92
59,hif2a,m02,m21,-1.1,0.25,-1.9,0.8
60,hif2a,m02,m28,-1.88,0.23,-1.8,0.08
61,hif2a,m02,m41,-1.81,0.23,-1.58,0.23
62,hif2a,m03,m06,-2.45,0.23,-1.2,1.25
63,hif2a,m03,m20,-2.43,0.24,0.81,3.24
